City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Kiunga,PG,76.08,moderate rain,-6.1219,141.2906,
321,Osmena,PH,82.72,broken clouds,10.5208,119.9258,
322,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,
326,Samarai,PG,81.68,heavy intensity rain,-10.6167,150.6667,
331,Dingle,PH,78.35,few clouds,10.9995,122.6711,
334,Vanimo,PG,81.05,overcast clouds,-2.6741,141.3028,
335,Vaitape,PF,81.54,clear sky,-16.5167,-151.75,
336,Bontang,ID,78.84,overcast clouds,0.1333,117.5,
338,Hobyo,SO,82.54,broken clouds,5.3505,48.5268,
339,Port Hedland,AU,77.05,few clouds,-20.3167,118.5667,
341,Orocue,CO,81.86,moderate rain,4.7912,-71.3354,
345,Poya,NC,79.77,scattered clouds,-21.35,165.15,
347,Sulangan,PH,80.91,clear sky,11.1373,123.7228,
353,Bac Lieu,VN,81.43,broken clouds,9.285,105.7244,
357,Kimbe,PG,78.94,moderate rain,-5.5502,150.1429,
358,Gamba,GA,77.45,overcast clouds,-2.65,10.0,
363,Farakka,IN,78.93,clear sky,24.8167,87.9,
364,Itarema,BR,76.69,overcast clouds,-2.9248,-39.9167,
365,Wau,SS,85.53,broken clouds,7.7029,27.9953,
369,Bubaque,GW,75.25,few clouds,11.2833,-15.8333,
371,Honiara,SB,84.87,overcast clouds,-9.4333,159.95,
374,Palembang,ID,77.09,mist,-2.9167,104.7458,
376,Caravelas,BR,76.86,scattered clouds,-17.7125,-39.2481,
378,Soyo,AO,78.49,light rain,-6.1349,12.3689,
384,Taungdwingyi,MM,82.13,clear sky,20.0167,95.55,
392,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,
393,Coro,VE,80.46,overcast clouds,11.4045,-69.6734,
394,Charters Towers,AU,75.07,clear sky,-20.1,146.2667,
397,Kuppam,IN,76.08,broken clouds,12.75,78.3667,
399,Mareeba,AU,77.43,overcast clouds,-17.0,145.4333,
409,Manaure,CO,79.48,scattered clouds,11.7751,-72.4445,
411,Takoradi,GH,78.89,overcast clouds,4.8845,-1.7554,
415,Porbandar,IN,79.61,clear sky,21.6422,69.6093,
416,Keffi,NG,75.83,moderate rain,8.8486,7.8736,
419,Vao,NC,75.9,broken clouds,-22.6667,167.4833,
424,Mattru,SL,76.51,light rain,7.6244,-11.8332,
426,Sao Joao Do Piaui,BR,77.23,overcast clouds,-8.3581,-42.2467,
428,Belmonte,BR,76.15,overcast clouds,-15.8631,-38.8828,
433,Anloga,GH,79.59,overcast clouds,5.7947,0.8973,
438,Pathein,MM,78.15,few clouds,16.7833,94.7333,
439,Sarangani,PH,82.38,broken clouds,5.4033,125.4636,
440,Cairns,AU,82.06,broken clouds,-16.9167,145.7667,
442,Johor Bahru,MY,80.51,clear sky,1.4655,103.7578,
443,Wajir,KE,78.53,broken clouds,1.7471,40.0573,
448,Gigmoto,PH,79.16,scattered clouds,13.7796,124.39,
462,Akyab,MM,80.06,few clouds,20.15,92.9,
465,Atar,MR,86.67,overcast clouds,20.5169,-13.0499,
466,Dosso,NE,87.78,overcast clouds,13.049,3.1937,
468,Pennagaram,IN,78.4,scattered clouds,12.1333,77.9,
470,Cusuna,HN,80.56,few clouds,15.85,-85.2333,
476,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,
487,Polillo,PH,78.94,few clouds,14.7122,121.9392,
488,Sola,VU,82.29,moderate rain,-13.8833,167.55,
489,Palmerston,AU,82.89,few clouds,-12.486,130.9833,
490,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,
491,Devarkonda,IN,84.92,scattered clouds,16.7,78.9333,
499,San Eugenio,PH,78.94,clear sky,16.3598,120.357,
506,Angoche,MZ,76.8,clear sky,-16.2325,39.9086,
510,The Valley,AI,80.46,broken clouds,18.217,-63.0578,
522,Lazaro Cardenas,MX,82.09,broken clouds,17.9583,-102.2,
525,Gulbarga,IN,86.49,scattered clouds,17.3333,76.8333,
527,Meadow Lake,US,81.73,overcast clouds,34.8014,-106.5436,
534,Beruwala,LK,80.28,overcast clouds,6.4788,79.9828,
540,Gizo,SB,81.66,overcast clouds,-8.103,156.8419,
542,Chandil,IN,81.59,clear sky,22.9667,86.05,
544,Puerto Escondido,MX,85.98,scattered clouds,15.85,-97.0667,
555,Vilhena,BR,77.22,clear sky,-12.7406,-60.1458,
562,Salalah,OM,77.41,clear sky,17.0151,54.0924,
568,Acapulco,MX,84.79,few clouds,16.8634,-99.8901,
572,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,
574,Karaton,ID,75.13,overcast clouds,-6.3424,106.1045,
578,Morant Bay,JM,80.71,broken clouds,17.8815,-76.4093,
580,Waraseoni,IN,86.18,broken clouds,21.75,80.0333,
582,Jaten,ID,76.66,overcast clouds,-7.5772,110.8975,
585,Pangai,TO,81.3,light rain,-19.8,-174.35,
591,Nabire,ID,79.56,overcast clouds,-3.3667,135.4833,
596,Manggar,ID,78.4,overcast clouds,-2.8833,108.2667,
603,Moerai,PF,78.82,overcast clouds,-22.4333,-151.3333,
605,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,
608,Dera Ghazi Khan,PK,83.07,clear sky,30.0561,70.6348,
609,Puerto Santander,CO,76.59,overcast clouds,8.3636,-72.4063,
612,Petlawad,IN,79.93,clear sky,23.0,74.8,
615,Bathsheba,BB,78.69,overcast clouds,13.2167,-59.5167,
616,Gorom-Gorom,BF,85.39,broken clouds,14.4439,-0.2361,
617,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,
620,Daru,PG,77.22,overcast clouds,-9.0763,143.2092,
623,Road Town,VG,78.64,broken clouds,18.4167,-64.6167,
624,Bousso,TD,77.74,overcast clouds,10.4795,16.7117,
632,Alyangula,AU,82.65,broken clouds,-13.8483,136.4192,
635,Namatanai,PG,84.6,overcast clouds,-3.6667,152.4333,
636,Agadez,NE,75.06,scattered clouds,19.75,10.25,
647,Aden,YE,82.02,few clouds,12.7794,45.0367,
649,Largo,US,82.38,clear sky,27.9095,-82.7873,
