City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Jamestown,US,42.097,-79.2353,35.19,77,100,14.97,snow
79,Victoria,HK,22.2855,114.1577,70.25,85,100,5.99,overcast clouds
80,Dwarka,IN,22.2394,68.9678,79.83,78,6,13.2,clear sky
81,Bilma,NE,18.6853,12.9164,79.2,18,73,13.0,broken clouds
82,Cape Town,ZA,-33.9258,18.4232,61.92,87,0,15.01,clear sky
83,Mecca,SA,21.4267,39.8261,85.24,24,13,1.7,few clouds
84,Provideniya,RU,64.3833,-173.3,32.36,86,100,13.42,light snow
85,Glenwood Springs,US,39.5505,-107.3248,63.63,25,0,12.66,clear sky
86,Porto Velho,BR,-8.7619,-63.9039,75.25,94,75,2.3,light rain
87,Yellowknife,CA,62.456,-114.3525,25.32,36,75,5.75,broken clouds
88,Mahebourg,MU,-20.4081,57.7,79.09,89,40,8.05,scattered clouds
89,Atuona,PF,-9.8,-139.0333,79.88,71,42,17.36,scattered clouds
90,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,4.61,broken clouds
91,Baykit,RU,61.67,96.37,6.75,99,83,3.18,broken clouds
92,New Norfolk,AU,-42.7826,147.0587,56.91,69,100,2.57,overcast clouds
93,Hazorasp,UZ,41.3194,61.0742,58.84,40,100,6.53,overcast clouds
94,Rome,US,34.257,-85.1647,59.31,63,31,3.0,scattered clouds
95,Esperance,AU,-33.8667,121.9,58.84,75,85,11.43,overcast clouds
96,Pevek,RU,69.7008,170.3133,15.71,88,62,4.94,broken clouds
97,Hobart,AU,-42.8794,147.3294,57.25,80,75,5.75,broken clouds
98,Talara,PE,-4.5772,-81.2719,74.16,64,0,16.11,clear sky
99,Joacaba,BR,-27.1781,-51.5047,56.77,95,67,2.82,broken clouds
100,Portland,US,45.5234,-122.6762,52.29,91,100,11.01,moderate rain
101,Codrington,AU,-38.2667,141.9667,57.81,67,100,7.76,overcast clouds
102,Dinan,FR,48.4167,-2.25,47.7,85,83,6.53,broken clouds
103,Husavik,IS,66.0449,-17.3389,34.29,97,100,11.99,overcast clouds
104,Castro,BR,-24.7911,-50.0119,54.91,95,41,4.7,scattered clouds
105,Mataura,NZ,-46.1927,168.8643,56.48,59,100,3.02,light rain
106,Bethel,US,41.3712,-73.414,45.73,66,100,4.0,overcast clouds
107,Kloulklubed,PW,7.0419,134.2556,79.3,76,81,9.24,broken clouds
108,Kendari,ID,-3.945,122.4989,78.71,89,97,2.64,overcast clouds
109,Tigil,RU,57.8,158.6667,26.02,85,95,10.29,overcast clouds
110,Faya,SA,18.3851,42.4509,66.31,36,66,3.94,broken clouds
111,Narsaq,GL,60.9167,-46.05,34.7,67,100,1.19,overcast clouds
112,Port Augusta,AU,-32.5,137.7667,61.54,64,61,14.03,broken clouds
113,Airai,TL,-8.9266,125.4092,63.88,78,93,1.81,overcast clouds
114,Georgetown,MY,5.4112,100.3354,79.95,93,20,3.44,few clouds
115,Khatanga,RU,71.9667,102.5,-1.95,99,91,6.76,overcast clouds
116,Hasaki,JP,35.7333,140.8333,57.6,61,100,13.04,overcast clouds
117,Qaanaaq,GL,77.484,-69.3632,-11.4,84,35,1.1,scattered clouds
118,Oistins,BB,13.0667,-59.5333,78.89,73,40,19.57,scattered clouds
119,Neuquen,AR,-38.9516,-68.0591,66.09,55,0,0.0,clear sky
120,Ishigaki,JP,24.3448,124.1572,69.93,83,97,11.5,overcast clouds
121,Barrow,US,71.2906,-156.7887,11.53,72,1,4.0,clear sky
122,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,73,81,12.48,broken clouds
123,Laguna,US,38.421,-121.4238,73.49,42,0,9.22,clear sky
124,Otautau,NZ,-46.15,168.0,56.44,72,100,1.32,overcast clouds
125,Ilulissat,GL,69.2167,-51.1,7.74,93,100,7.72,overcast clouds
126,San Cristobal,VE,7.7669,-72.225,75.38,83,99,4.41,overcast clouds
127,Kayseri,TR,38.737,35.4968,68.02,32,75,13.8,light rain
128,Beitbridge,ZW,-22.2167,30.0,64.81,86,28,9.98,scattered clouds
129,Sobolevo,RU,54.4299,31.8996,39.22,90,100,11.72,overcast clouds
130,Simao,CN,22.7886,100.9748,59.13,98,64,2.75,broken clouds
131,Ugoofaaru,MV,5.6667,73.0,83.8,67,100,6.85,overcast clouds
132,Tukrah,LY,32.5341,20.5791,57.06,83,42,13.02,light rain
133,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,77,100,17.27,overcast clouds
134,Bahir Dar,ET,11.5936,37.3908,70.02,55,96,4.27,overcast clouds
135,Kaitangata,NZ,-46.2817,169.8464,61.45,54,93,3.47,moderate rain
136,Taoudenni,ML,22.6783,-3.9836,80.24,12,3,7.38,clear sky
137,Egvekinot,RU,66.3167,-179.1667,27.79,98,100,4.97,snow
138,Kishanpur,IN,25.65,81.0167,86.16,11,0,1.43,clear sky
139,Aklavik,CA,68.2191,-135.0107,30.2,34,0,11.5,clear sky
140,Graaff-Reinet,ZA,-32.2522,24.5308,57.81,72,4,2.04,clear sky
141,Lorengau,PG,-2.0226,147.2712,84.88,70,100,8.86,overcast clouds
142,Zverinogolovskoye,RU,54.4586,64.8542,43.99,63,85,7.43,overcast clouds
143,Butaritari,KI,3.0707,172.7902,81.79,75,15,12.21,few clouds
144,Lasa,IT,46.6166,10.7002,41.36,90,13,5.44,few clouds
145,Kulu,TR,39.0951,33.0799,50.52,83,13,6.91,few clouds
146,San Pedro Del Pinatar,ES,37.8357,-0.791,63.84,74,0,3.0,clear sky
147,Bowen,AU,-20.0167,148.2333,76.41,78,8,12.33,clear sky
148,Karimganj,IN,24.8667,92.35,71.56,94,7,1.79,clear sky
149,Tubuala,PA,9.5167,-79.0333,80.6,82,93,12.01,overcast clouds
150,West Bay,KY,19.3667,-81.4167,86.07,68,20,8.05,few clouds
151,Mahibadhoo,MV,3.7833,72.9667,83.39,67,100,5.41,overcast clouds
152,Ranong,TH,9.9658,98.6348,77.7,90,65,4.56,broken clouds
153,Belaya Kholunitsa,RU,58.84,50.8528,24.64,99,49,2.64,scattered clouds
154,Pangnirtung,CA,66.1451,-65.7125,-5.8,77,20,11.5,few clouds
155,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,100,6.58,overcast clouds
156,Amboasary,MG,-25.0333,46.3833,73.22,92,41,5.59,scattered clouds
157,Arman,RU,59.7,150.1667,25.02,87,85,5.59,overcast clouds
158,Fez,MA,34.0372,-4.9998,59.25,72,0,4.61,clear sky
159,Sao Joaquim,BR,-28.2939,-49.9317,49.46,97,89,3.06,overcast clouds
160,Port Blair,IN,11.6667,92.75,81.34,71,96,3.56,overcast clouds
161,Darhan,MN,49.4867,105.9228,49.42,36,43,6.8,scattered clouds
162,Westport,US,41.1415,-73.3579,46.99,63,100,10.0,overcast clouds
163,Mercedes,AR,-34.6515,-59.4307,64.85,66,42,8.79,scattered clouds
164,East London,ZA,-33.0153,27.9116,66.6,84,94,5.7,overcast clouds
165,Saint George,US,37.1041,-113.5841,87.64,7,0,8.99,clear sky
166,Hit,IQ,33.6416,42.8251,76.06,12,66,7.72,broken clouds
167,Kavaratti,IN,10.5669,72.642,83.57,74,50,8.12,scattered clouds
168,Saint-Pierre,RE,-21.3393,55.4781,76.91,80,0,3.44,clear sky
169,Morehead,US,37.2711,-87.1764,52.0,53,100,14.97,overcast clouds
170,Coahuayana,MX,18.7333,-103.6833,85.15,57,73,6.62,broken clouds
171,Talcahuano,CL,-36.7167,-73.1167,58.68,88,75,5.75,broken clouds
172,Suntar,RU,62.1444,117.6319,22.23,83,100,11.68,overcast clouds
173,Chokurdakh,RU,70.6333,147.9167,9.93,92,53,4.18,broken clouds
174,San Isidro,PE,-12.1167,-77.05,65.79,77,0,12.66,clear sky
175,Cidreira,BR,-30.1811,-50.2056,69.3,73,52,16.04,broken clouds
176,Mizdah,LY,31.4451,12.9801,52.61,45,0,5.79,clear sky
177,Trairi,BR,-3.2778,-39.2689,75.36,93,98,6.44,overcast clouds
178,Coueron,FR,47.2151,-1.7217,49.95,62,0,6.91,clear sky
179,Zhezkazgan,KZ,47.8043,67.7144,48.06,82,94,14.36,overcast clouds
180,Port Elizabeth,ZA,-33.918,25.5701,57.09,95,0,3.44,clear sky
181,Da Nang,VN,16.0678,108.2208,76.98,78,75,5.75,broken clouds
182,Margate,GB,51.3813,1.3862,50.7,84,100,1.01,overcast clouds
183,Kaeo,NZ,-35.1,173.7833,70.32,96,26,8.55,scattered clouds
184,Penzance,GB,50.1186,-5.5371,48.31,69,8,13.85,clear sky
185,Berlevag,NO,70.8578,29.0864,40.8,92,100,23.78,overcast clouds
186,Cayenne,GF,4.9333,-52.3333,77.09,1,75,0.0,broken clouds
187,Nanortalik,GL,60.1432,-45.2371,32.74,92,100,9.64,light snow
188,Araripina,BR,-7.5761,-40.4983,69.87,90,87,3.38,overcast clouds
189,Poum,NC,-20.2333,164.0167,78.3,76,5,9.95,clear sky
190,Lamar,US,33.6668,-95.5836,70.65,57,14,10.31,few clouds
191,Fiumicino,IT,41.7675,12.2291,55.0,81,0,2.3,clear sky
192,Sembakung,ID,3.8167,117.25,74.57,98,89,1.81,overcast clouds
193,Ca Mau,VN,9.1769,105.15,79.61,82,85,6.49,overcast clouds
194,Sokoni,TZ,-6.4333,39.55,80.74,80,7,9.84,light rain
195,Ordubad,AZ,38.9059,46.0234,61.84,37,40,3.02,scattered clouds
196,Tautira,PF,-17.7333,-149.15,80.31,74,22,7.07,light rain
197,Kahului,US,20.8947,-156.47,80.96,78,63,18.01,broken clouds
198,Alofi,NU,-19.0595,-169.9187,84.09,79,75,9.22,broken clouds
199,Villa Guerrero,MX,18.8667,-99.65,89.22,24,70,2.28,broken clouds
200,Erdenet,MN,49.0333,104.0833,43.38,41,45,5.75,scattered clouds
201,Talnakh,RU,69.4865,88.3972,14.92,94,100,8.08,light snow
202,Waingapu,ID,-9.6567,120.2641,78.69,87,100,6.91,light rain
203,Fortuna,US,40.5982,-124.1573,53.92,90,40,13.8,moderate rain
204,Grand Gaube,MU,-20.0064,57.6608,79.2,88,58,3.0,broken clouds
205,Gerash,IR,27.6652,54.1371,64.36,23,19,1.63,few clouds
206,Santa Maria,BR,-29.6842,-53.8069,67.3,77,40,3.44,scattered clouds
207,Touros,BR,-5.1989,-35.4608,80.13,77,97,9.17,overcast clouds
208,Sao Filipe,CV,14.8961,-24.4956,71.15,80,27,6.33,scattered clouds
209,Samarinda,ID,-0.5,117.15,75.04,97,100,1.07,overcast clouds
210,Vila Do Maio,CV,15.1333,-23.2167,72.39,81,26,12.21,scattered clouds
211,Dawlatabad,AF,36.4141,64.9053,55.04,83,100,7.4,overcast clouds
212,Nenjiang,CN,49.1833,125.2167,51.01,49,99,10.74,overcast clouds
213,Sabalgarh,IN,26.25,77.4,86.31,14,38,0.87,scattered clouds
214,De-Kastri,RU,51.4667,140.7833,35.6,77,54,7.72,broken clouds
215,Saskylakh,RU,71.9167,114.0833,12.16,94,100,12.71,light snow
216,Dickinson,US,29.4608,-95.0513,81.14,57,0,5.99,clear sky
217,Carnarvon,AU,-24.8667,113.6333,64.47,77,29,9.22,scattered clouds
218,Oussouye,SN,12.485,-16.5469,71.78,73,35,10.29,scattered clouds
219,Mogadishu,SO,2.0371,45.3438,82.26,82,100,9.6,overcast clouds
220,La Ronge,CA,55.1001,-105.2842,37.65,56,75,11.5,broken clouds
221,Bukachacha,RU,52.9833,116.9167,46.89,56,97,5.91,overcast clouds
222,Chuy,UY,-33.6971,-53.4616,63.07,84,7,9.24,clear sky
223,Bandarbeyla,SO,9.4942,50.8122,80.38,79,8,2.3,clear sky
224,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.14,97,100,0.87,moderate rain
225,Diego De Almagro,CL,-26.3667,-70.05,61.63,48,0,4.09,clear sky
226,Komsomolskiy,UZ,40.4272,71.7189,68.72,49,88,9.22,light rain
227,Luanda,AO,-8.8368,13.2343,80.6,83,75,8.05,broken clouds
228,Inhambane,MZ,-23.865,35.3833,71.92,88,81,7.02,light rain
229,Luderitz,NA,-26.6481,15.1594,75.36,38,7,8.28,clear sky
230,Nemuro,JP,43.3236,145.575,37.27,91,98,8.68,overcast clouds
231,Huarmey,PE,-10.0681,-78.1522,68.65,81,91,9.15,overcast clouds
232,Vostok,RU,46.4856,135.8833,40.8,40,41,8.16,scattered clouds
233,Coquimbo,CL,-29.9533,-71.3436,56.93,82,75,3.44,broken clouds
234,Axim,GH,4.8699,-2.2405,78.49,82,100,3.15,overcast clouds
235,Yeppoon,AU,-23.1333,150.7333,74.98,79,56,10.18,broken clouds
236,San Andres,CO,12.5847,-81.7006,84.22,74,40,8.05,scattered clouds
237,Fougamou,GA,-1.2154,10.5838,74.55,98,100,1.79,light rain
238,Kiama,AU,-34.6833,150.8667,73.58,76,100,5.01,overcast clouds
239,Anchorage,US,61.2181,-149.9003,45.61,39,0,9.22,clear sky
240,Norman Wells,CA,65.282,-126.8329,28.44,31,0,8.05,clear sky
241,Hanmer Springs,NZ,-42.5167,172.8167,67.95,40,29,1.43,scattered clouds
242,Trogir,HR,43.5125,16.2517,49.78,37,0,4.61,clear sky
243,Mujiayingzi,CN,42.1167,118.7833,52.81,29,8,9.35,clear sky
244,Manokwari,ID,-0.8667,134.0833,81.93,74,96,3.89,overcast clouds
245,Bremervorde,DE,53.4833,9.1333,48.18,83,92,6.89,overcast clouds
246,Tibiri,NE,13.5627,7.0485,90.93,13,19,4.27,few clouds
247,Zaozerne,UA,45.1582,33.2787,42.91,87,98,11.86,overcast clouds
248,Mar Del Plata,AR,-38.0023,-57.5575,66.09,92,0,20.0,clear sky
249,Synya,RU,65.3718,58.0387,27.75,98,100,4.07,overcast clouds
250,Upernavik,GL,72.7868,-56.1549,10.08,95,100,5.57,light snow
251,Lagoa,PT,39.05,-27.9833,58.24,73,45,18.79,scattered clouds
252,Kalmunai,LK,7.4167,81.8167,79.84,80,89,3.29,overcast clouds
253,Tocopilla,CL,-22.092,-70.1979,63.75,69,14,3.44,few clouds
254,Kismayo,SO,-0.3582,42.5454,82.45,79,100,12.84,overcast clouds
255,Pryazha,RU,61.6926,33.6216,34.83,92,81,2.71,broken clouds
256,Raudeberg,NO,61.9875,5.1352,43.47,67,0,4.74,clear sky
257,Sisimiut,GL,66.9395,-53.6735,12.24,73,100,8.5,overcast clouds
258,Dashitou,CN,43.3067,128.5114,47.32,36,35,6.76,scattered clouds
259,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.98,81,8,9.24,clear sky
260,Uvinza,TZ,-5.1036,30.3911,70.32,77,72,0.31,broken clouds
261,Joao Pinheiro,BR,-17.7425,-46.1725,75.2,50,76,6.51,broken clouds
262,Ibra,OM,22.6906,58.5334,77.79,40,16,2.77,few clouds
263,Acacoyagua,MX,15.35,-92.65,88.36,54,18,5.82,few clouds
264,Amposta,ES,40.7131,0.581,59.23,90,59,1.63,broken clouds
265,Stonewall,CA,50.1344,-97.3268,33.78,86,92,8.48,overcast clouds
266,Neyshabur,IR,36.2133,58.7958,49.12,75,100,7.38,light rain
267,Rorvik,NO,64.8621,11.2373,43.34,88,56,10.04,broken clouds
268,Robertsport,LR,6.7533,-11.3686,80.06,82,99,5.79,light rain
269,Batagay,RU,67.6333,134.6333,17.24,80,100,6.22,overcast clouds
270,Kapit,MY,2.0167,112.9333,74.52,100,100,0.43,overcast clouds
271,Barga,IT,44.0742,10.4808,46.96,71,15,1.14,few clouds
272,Hambantota,LK,6.1241,81.1185,79.32,85,70,11.41,broken clouds
273,Leningradskiy,RU,69.3833,178.4167,26.51,80,100,4.5,overcast clouds
274,Monte Patria,CL,-30.6919,-70.9467,67.19,53,1,3.98,clear sky
275,Liwale,TZ,-9.7667,37.9333,68.05,98,9,2.91,clear sky
276,Dargaville,NZ,-35.9333,173.8833,72.3,81,71,9.89,broken clouds
277,Sarakhs,IR,36.5449,61.1577,52.61,69,87,7.2,overcast clouds
278,San Policarpo,PH,12.1791,125.5072,81.19,76,7,11.97,clear sky
279,Pahrump,US,36.2083,-115.9839,85.5,5,59,5.01,broken clouds
280,Puerto Carreno,CO,6.189,-67.4859,87.78,62,20,2.3,few clouds
281,Okato,NZ,-39.2,173.8833,63.68,87,99,9.66,overcast clouds
282,Pilar,BR,-9.5972,-35.9567,76.93,87,50,3.56,light rain
283,Sosnovka,RU,56.255,51.2842,33.21,100,100,1.77,light snow
284,Yar-Sale,RU,66.8333,70.8333,0.27,98,70,6.22,broken clouds
285,Constantine,DZ,36.365,6.6147,49.48,59,69,3.74,broken clouds
286,San Patricio,US,28.017,-97.5169,88.54,57,5,18.37,clear sky
287,Coihaique,CL,-45.5752,-72.0662,53.55,54,40,4.61,scattered clouds
288,Gat,IL,31.61,34.7642,65.8,100,100,2.59,overcast clouds
289,Palmer,US,42.1584,-72.3287,49.77,46,100,4.0,overcast clouds
290,Anadyr,RU,64.75,177.4833,32.5,93,75,13.42,light shower snow
291,Limbe,CM,4.0242,9.2149,80.37,82,100,7.31,light rain
292,Norden,DE,53.6,7.2,47.95,77,0,9.57,clear sky
293,Salinopolis,BR,-0.6136,-47.3561,78.71,85,100,7.45,overcast clouds
294,Seddon,AU,-37.8068,144.8916,60.75,96,100,5.75,light intensity drizzle
295,Meulaboh,ID,4.1363,96.1285,76.33,91,97,5.23,heavy intensity rain
296,Indiana,US,40.0003,-86.2503,42.57,83,100,14.97,overcast clouds
297,Ust-Barguzin,RU,53.45,108.9833,37.99,95,100,7.45,light rain
298,Bengkulu,ID,-3.8004,102.2655,75.34,83,99,3.56,overcast clouds
299,Ostrovnoy,RU,68.0531,39.5131,36.43,100,100,9.84,overcast clouds
300,Segou,ML,13.4317,-6.2157,87.28,13,97,7.56,overcast clouds
301,Uige,AO,-7.6087,15.0613,68.27,95,76,2.46,broken clouds
302,Bafq,IR,31.6128,55.4107,59.25,26,0,1.61,clear sky
303,Goundam,ML,16.4145,-3.6708,77.88,12,2,8.61,clear sky
304,Progreso,MX,21.2833,-89.6667,89.11,72,1,16.06,clear sky
305,Stornoway,GB,58.2093,-6.3865,46.92,92,100,24.16,overcast clouds
306,Mogocha,RU,53.7333,119.7667,40.26,75,100,2.53,overcast clouds
307,Isangel,VU,-19.55,169.2667,82.27,76,100,1.05,moderate rain
308,Mount Gambier,AU,-37.8333,140.7667,46.31,93,56,4.61,broken clouds
309,Tezu,IN,27.9167,96.1667,64.6,75,63,5.14,broken clouds
310,Wenzhou,CN,27.9994,120.6668,60.08,73,99,3.13,overcast clouds
311,Dicabisagan,PH,17.0818,122.4157,77.27,83,35,3.89,scattered clouds
312,Kayerkan,RU,69.3497,87.7602,13.62,95,100,5.91,overcast clouds
313,Labrea,BR,-7.2586,-64.7981,75.38,97,94,1.92,overcast clouds
314,Iralaya,HN,15.0,-83.2333,81.7,67,2,12.06,clear sky
315,Bandar,ID,2.05,99.75,73.06,95,100,2.62,overcast clouds
316,Kiunga,PG,-6.1219,141.2906,76.08,94,100,2.19,moderate rain
317,Nacala,MZ,-14.5428,40.6728,73.44,93,57,6.55,broken clouds
318,Yambio,SS,4.5721,28.3955,69.89,93,95,3.76,overcast clouds
319,Pokrovsk,UA,48.282,37.1758,51.42,90,24,7.61,few clouds
320,Walvis Bay,NA,-22.9575,14.5053,61.09,61,16,2.57,few clouds
321,Osmena,PH,10.5208,119.9258,82.72,73,73,19.06,broken clouds
322,Porto Novo,BJ,6.4965,2.6036,78.62,84,100,0.85,overcast clouds
323,Krasnoselkup,RU,65.7,82.4667,11.84,92,82,16.33,broken clouds
324,Chapleau,CA,47.8405,-83.4034,32.09,86,100,3.44,overcast clouds
325,Parnu-Jaagupi,EE,58.6105,24.5069,39.0,95,46,4.72,scattered clouds
326,Samarai,PG,-10.6167,150.6667,81.68,81,94,11.97,heavy intensity rain
327,Longkou,CN,37.6508,120.3286,52.43,61,0,6.71,clear sky
328,Shimoda,JP,34.6667,138.95,58.1,82,100,9.35,overcast clouds
329,Verkhoyansk,RU,67.5447,133.385,20.32,80,100,3.69,overcast clouds
330,Tansen,NP,27.8673,83.5467,63.39,27,0,3.85,clear sky
331,Dingle,PH,10.9995,122.6711,78.35,85,16,8.81,few clouds
332,Esplanada,BR,-11.7961,-37.945,71.89,93,41,5.01,scattered clouds
333,Saldanha,ZA,-33.0117,17.9442,60.85,75,0,8.21,clear sky
334,Vanimo,PG,-2.6741,141.3028,81.05,81,100,2.44,overcast clouds
335,Vaitape,PF,-16.5167,-151.75,81.54,72,9,8.93,clear sky
336,Bontang,ID,0.1333,117.5,78.84,88,100,6.67,overcast clouds
337,Nouadhibou,MR,20.931,-17.0347,66.18,94,100,10.36,overcast clouds
338,Hobyo,SO,5.3505,48.5268,82.54,78,73,11.1,broken clouds
339,Port Hedland,AU,-20.3167,118.5667,77.05,44,11,8.05,few clouds
340,Waddan,LY,29.1614,16.139,58.66,58,1,9.82,clear sky
341,Orocue,CO,4.7912,-71.3354,81.86,72,95,3.47,moderate rain
342,El Alto,PE,-4.2714,-81.2147,71.26,77,92,13.11,overcast clouds
343,Barcelos,PT,41.5388,-8.6151,53.85,76,35,10.83,scattered clouds
344,Zeya,RU,53.75,127.2667,36.05,93,100,5.44,light rain
345,Poya,NC,-21.35,165.15,79.77,74,32,4.5,scattered clouds
346,Canarana,BR,-11.6847,-41.7689,69.33,84,100,10.11,overcast clouds
347,Sulangan,PH,11.1373,123.7228,80.91,75,6,9.86,clear sky
348,Kibre Mengist,ET,5.8833,38.9833,56.73,96,22,2.66,few clouds
