City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Manokwari,ID,81.93,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
252,Kalmunai,LK,79.84,overcast clouds,7.4167,81.8167,VS Villa
254,Kismayo,SO,82.45,overcast clouds,-0.3582,42.5454,Agan-Hotel
261,Joao Pinheiro,BR,75.2,broken clouds,-17.7425,-46.1725,Hotel Santos
262,Ibra,OM,77.79,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
263,Acacoyagua,MX,88.36,few clouds,15.35,-92.65,Finca TAJUKO
268,Robertsport,LR,80.06,light rain,6.7533,-11.3686,Kwepunha Retreat
272,Hambantota,LK,79.32,broken clouds,6.1241,81.1185,Bungalow 63
278,San Policarpo,PH,81.19,clear sky,12.1791,125.5072,Agapita M. Nicart
279,Pahrump,US,85.5,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
280,Puerto Carreno,CO,87.78,few clouds,6.189,-67.4859,Casa Hotel Victoria
282,Pilar,BR,76.93,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
286,San Patricio,US,88.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
291,Limbe,CM,80.37,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
293,Salinopolis,BR,78.71,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
295,Meulaboh,ID,76.33,heavy intensity rain,4.1363,96.1285,Kost Pria
298,Bengkulu,ID,75.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
300,Segou,ML,87.28,overcast clouds,13.4317,-6.2157,Comme chez soi
304,Progreso,MX,89.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
307,Isangel,VU,82.27,moderate rain,-19.55,169.2667,Tanna Lodge
311,Dicabisagan,PH,77.27,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
313,Labrea,BR,75.38,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
314,Iralaya,HN,81.7,clear sky,15.0,-83.2333,Iglesia morava renovada
316,Kiunga,PG,76.08,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
321,Osmena,PH,82.72,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
322,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
326,Samarai,PG,81.68,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
331,Dingle,PH,78.35,few clouds,10.9995,122.6711,SEGAYA PROPERTY
334,Vanimo,PG,81.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
335,Vaitape,PF,81.54,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
336,Bontang,ID,78.84,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
338,Hobyo,SO,82.54,broken clouds,5.3505,48.5268,Iftin hotel hobyo
339,Port Hedland,AU,77.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
341,Orocue,CO,81.86,moderate rain,4.7912,-71.3354,Hotel Brisas de San Miguel
347,Sulangan,PH,80.91,clear sky,11.1373,123.7228,Maia's Beach Resort
353,Bac Lieu,VN,81.43,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
357,Kimbe,PG,78.94,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
363,Farakka,IN,78.93,clear sky,24.8167,87.9,Md Ayub sk pancantar
364,Itarema,BR,76.69,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
365,Wau,SS,85.53,broken clouds,7.7029,27.9953,Universal Gab Hotel
369,Bubaque,GW,75.25,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
371,Honiara,SB,84.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
374,Palembang,ID,77.09,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
376,Caravelas,BR,76.86,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
378,Soyo,AO,78.49,light rain,-6.1349,12.3689,Hotel Mpampa
384,Taungdwingyi,MM,82.13,clear sky,20.0167,95.55,NayNaing MobileService
392,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
393,Coro,VE,80.46,overcast clouds,11.4045,-69.6734,Federal
394,Charters Towers,AU,75.07,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
397,Kuppam,IN,76.08,broken clouds,12.75,78.3667,Manjunatha Residency Hotel
399,Mareeba,AU,77.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
409,Manaure,CO,79.48,scattered clouds,11.7751,-72.4445,Hotel Palaaima
411,Takoradi,GH,78.89,overcast clouds,4.8845,-1.7554,Raybow International Hotel
415,Porbandar,IN,79.61,clear sky,21.6422,69.6093,Lords Inn Porbandar
416,Keffi,NG,75.83,moderate rain,8.8486,7.8736,Imam Family
419,Vao,NC,75.9,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
424,Mattru,SL,76.51,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
426,Sao Joao Do Piaui,BR,77.23,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
428,Belmonte,BR,76.15,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
433,Anloga,GH,79.59,overcast clouds,5.7947,0.8973,Pin Drop Hotel
438,Pathein,MM,78.15,few clouds,16.7833,94.7333,Pathein Hotel
439,Sarangani,PH,82.38,broken clouds,5.4033,125.4636,Ballistic Islet
440,Cairns,AU,82.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
