City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Kirakira,SB,-10.4544,161.9205,84.97,72,83,7.58,broken clouds
130,Lebu,CL,-37.6167,-73.65,49.55,83,79,3.94,broken clouds
131,Izhma,RU,65.0083,53.9113,19.45,76,93,8.41,overcast clouds
132,Burnie,AU,-41.0667,145.9167,59.63,39,25,5.44,scattered clouds
133,Villanueva De La Serena,ES,38.9766,-5.7974,40.87,83,0,7.07,clear sky
134,Horasan,TR,40.0458,42.1728,42.26,66,0,1.03,clear sky
135,Carbonia,IT,39.1672,8.5222,56.35,95,100,0.94,overcast clouds
136,Puerto Ayora,EC,-0.7393,-90.3518,73.38,94,81,5.3,broken clouds
137,Inongo,CD,-1.95,18.2667,71.87,92,100,3.0,overcast clouds
138,Bethel,US,41.3712,-73.414,46.71,61,0,0.0,clear sky
139,Shimizu,JP,43.0061,142.8847,73.15,29,6,9.66,clear sky
140,Meulaboh,ID,4.1363,96.1285,82.99,69,97,3.96,overcast clouds
141,Tres Passos,BR,-27.4556,-53.9319,59.86,77,7,3.38,clear sky
142,Gifhorn,DE,52.4833,10.55,42.31,86,75,1.14,broken clouds
143,Voh,NC,-20.9667,164.7,80.47,62,18,10.27,few clouds
144,Lensk,RU,60.7253,114.9278,30.9,78,100,4.12,light snow
145,Kachug,RU,53.9606,105.8817,38.52,57,100,12.86,light rain
146,Aklavik,CA,68.2191,-135.0107,15.94,92,89,8.1,overcast clouds
147,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,100,100,8.95,light shower snow
148,Manaure,CO,11.7751,-72.4445,79.74,79,100,8.34,overcast clouds
149,Carnarvon,AU,-24.8667,113.6333,82.47,28,98,3.44,overcast clouds
150,Gurmatkal,IN,16.8667,77.4,91.15,32,7,10.6,clear sky
151,Luderitz,NA,-26.6481,15.1594,69.22,40,8,3.18,clear sky
152,Dudinka,RU,69.4058,86.1778,16.63,84,93,12.66,overcast clouds
153,Kodiak,US,57.79,-152.4072,44.11,57,0,6.91,clear sky
154,Prata,BR,-19.3072,-48.9242,70.52,52,48,3.09,scattered clouds
155,Adrar,MR,20.5022,-10.0711,75.04,17,5,11.27,clear sky
156,Mahebourg,MU,-20.4081,57.7,77.25,94,40,3.44,scattered clouds
157,Verkhoyansk,RU,67.5447,133.385,29.39,89,100,1.79,overcast clouds
158,Dingle,PH,10.9995,122.6711,87.64,65,93,10.45,overcast clouds
159,Whitianga,NZ,-36.8333,175.7,67.3,90,100,10.4,overcast clouds
160,Lavrentiya,RU,65.5833,-171.0,26.08,86,13,2.93,few clouds
161,Chicama,PE,-7.8447,-79.1469,63.14,80,66,5.73,broken clouds
162,Sarangani,PH,5.4033,125.4636,82.9,78,100,13.09,overcast clouds
163,Gumdag,TM,39.2061,54.5906,68.29,47,100,12.59,overcast clouds
164,Chubbuck,US,42.9208,-112.4661,50.63,39,0,9.22,clear sky
165,Vao,NC,-22.6667,167.4833,75.61,66,0,10.78,clear sky
166,Marzuq,YE,14.4,46.4667,67.23,18,0,5.46,clear sky
167,Khatanga,RU,71.9667,102.5,6.35,90,67,4.65,broken clouds
168,Miri,MY,4.4148,114.0089,87.94,74,40,5.75,scattered clouds
169,Waipawa,NZ,-41.4122,175.5153,68.94,64,20,11.25,few clouds
170,Cockburn Town,TC,21.4612,-71.1419,77.14,81,100,17.38,overcast clouds
171,Ambon,ID,-3.6954,128.1814,87.94,66,40,3.44,scattered clouds
172,Souillac,MU,-20.5167,57.5167,75.58,94,40,3.44,scattered clouds
173,Port Elizabeth,ZA,-33.918,25.5701,71.31,54,0,3.44,clear sky
174,Alice Town,BS,25.7167,-79.3,73.98,77,100,24.25,overcast clouds
